latitude,longitude,serial number,COMUNE
45.62571,8.907087,IT*ENX*E23XP22T3KKJCK00303*1,Marnate
45.566316,8.645551,IT*ENX*E19XP22T3KK1AT00039*2,Bellinzago Novarese
45.554576,8.640452,IT*ENX*E19XP22T3KK4AS00059*1,Bellinzago Novarese
45.577553,8.818443,IT*ENX*E18XP22T3BB4U000207*2,Magnago
45.722962,8.810327,IT*ENX*E19XP22T3KK1AL00340*2,Solbiate Arno
45.597098,9.057732,IT*ENX*E19XM32T7GB3W000016*2,Caronno Pertusella
45.597098,9.057732,IT*ENX*E19XM32T7GB3W000016*3,Caronno Pertusella
45.597098,9.057732,IT*ENX*E19XM32T7GB3W000016*1,Caronno Pertusella
45.647573,9.051228,IT*ENX*E18XP22T3BB5U000479*2,Rovello Porro
45.686876,8.807066,IT*ENX*E22XP22T3QQ1AN00727*2,Cavaria con Premezzo
45.650463,8.807768,IT*BEC*EH000154*3,Gallarate
45.8069376,8.7882416,IT*EMOE1506,Varese
45.56469,9.046186,IT*EWI*EEW011001*1,Lainate
45.691977,8.905633,IT*BEC*EE002332*1,Tradate
45.599369,8.63323,IT*ENX*E22XP22T3QQ1AN00368*1,Oleggio
45.715366,8.641079,IT*BEC*EE004498*2,Castelletto sopra Ticino
45.87547,8.632656,IT*BEC*EE007018*1,Sangiano
45.721385,8.601882,IT*ENX*E19XP22T3KK1AL00022*2,Castelletto sopra Ticino
45.925291,8.546724,IT*ENX*E20XP22T3KK4AL00614*1,Verbania
45.827778,8.669166,IT*ENX*E19XP22T3KK1AL00108*2,Bardello con Malgesso e Bregano
45.680662,8.987054,IT*BEC*EE001682*1,Limido Comasco
45.645324,9.083023,IT*BEC*EE001140*2,Cogliate
45.927175,8.56304,IT*ENX*E20XP22T3KK4AL00615*2,Verbania
45.945055,8.833902,IT*BEC*EE004568*1,Marchirolo
45.550269,8.779096,IT*ENX*E20XP22T5HK4AL00096*1,Castano Primo
45.62836,9.026623,IT*BEC*EE000533*2,Saronno
46.017831,8.785989,IT*BEC*EH000318*1,Dumenza
45.721208,8.890474,IT*BEC*EE002330*2,Tradate
46.064333,8.698396,IT*ENX*E19XP22T3KK4AD00446*1,Cannobio
45.654729,8.798966,IT*EMO*E2085*1,Gallarate
45.839917,8.841111,IT*ENX*E19XP22T5HK4AH00067*2,Induno Olona
45.774656,8.703401,IT*BEC*EE001024*2,Varano Borghi
45.60458,8.84596,IT*ENX*E18XP22T5AB5U000109*2,Busto Arsizio
45.665129,8.628487,IT*BEC*EE002634*2,Varallo Pombia
45.75473,8.560576,IT*ENX*E20XP22T5HK4AL00088*1,Arona
45.615743,9.067964,IT*BEC*EH000268*2,Solaro
45.953957,8.545007,IT*ENX*E20XP22T3KK4AL00618*1,Verbania
45.665082,8.628482,IT*BEC*EE002636*1,Varallo Pombia
45.655471,9.018648,IT*ENX*E18XP22T3BB5U000414*2,Turate
46.067591,8.698077,IT*ENX*E18XP22T3KK4AH00269*1,Cannobio
45.615251,8.880374,IT*BEC*EH000359*3,Castellanza
45.721031,8.617393,IT*EMOE1197,Castelletto sopra Ticino
45.723906,8.6103,IT*EMOE1189,Castelletto sopra Ticino
45.731058,8.577972,IT*EMOE1230,Dormelletto
46.019893,8.681131,IT*ENX*E20XP22T3KK4AL00613*2,Cannero Riviera
45.875324,8.544963,IT*ENX*E19XM32T7GB3W000033*3,Stresa
45.875324,8.544963,IT*ENX*E19XM32T7GB3W000033*2,Stresa
45.875324,8.544963,IT*ENX*E19XM32T7GB3W000033*1,Stresa
45.6275735,8.7008652,IT*EMO*E2043*1,Vizzola Ticino
45.599369,8.63323,IT*ENX*E22XP22T3QQ1AN00368*2,Oleggio
45.731418,8.981579,IT*ENX*E18XP22T3KK4AH00154*2,Appiano Gentile
45.6275735,8.7008652,IT*EMO*E2050*1,Vizzola Ticino
45.6275735,8.7008652,IT*EMO*E2059*1,Vizzola Ticino
45.6275735,8.7008652,IT*EMO*E2062*1,Vizzola Ticino
45.6275735,8.7008652,IT*EMO*E2053*1,Vizzola Ticino
45.615626,9.080659,IT*BEC*EE002155*2,Solaro
45.612918,9.045474,IT*BEC*EE005216*1,Saronno
45.816889,8.805581,IT*EWI*EEW024501*2,Varese
45.892733,8.668247,IT*A2C*ESN2000041*3,Cittiglio
45.65948,8.797686,IT*ENX*E21XP22T3KKJAK00128*2,Gallarate
45.61311,9.00733,IT*BEC*EH001857*1,Uboldo
45.666486,8.795239,IT*EMO*E2079*1,Gallarate
45.905055,8.897928,IT*ENX*E19XP22T3KK4AD00089*1,Porto Ceresio
45.581282,9.06114,IT*BEC*EE005274*1,Garbagnate Milanese
46.019893,8.681131,IT*ENX*E20XP22T3KK4AL00613*1,Cannero Riviera
45.68649,8.821169,IT*ENX*E20XM32T7KK3AR00013*2,Cassano Magnago
45.844434,8.66764,IT*ENX*E18XP22T5AB5U000398*2,Besozzo
45.844434,8.66764,IT*ENX*E18XP22T5AB5U000398*1,Besozzo
45.815193,8.81162,IT*BEC*EE001021*2,Varese
45.61295,9.045458,IT*BEC*EE000391*1,Saronno
45.692439,8.802504,IT*EWI*EEW0156S1*1,Cavaria con Premezzo
45.694712,8.932507,IT*ENX*E24BZ4961A*2,Locate Varesino
45.694712,8.932507,IT*ENX*E24BZ4961A*1,Locate Varesino
45.594176,8.919911,IT*ENX*E22BZ3295A*1,Legnano
45.7815,8.69531,IT*BEC*EE006771*1,Ternate
45.550087,8.989439,IT*ENX*E24BZ0946A*2,Nerviano
45.925291,8.546724,IT*ENX*E20XP22T3KK4AL00614*2,Verbania
45.764901,8.614985,IT*ENX*E18DP22T3KK4U000408*2,Taino
45.5993,9.0201,IT*ENX*E18XP22T3BB4U000129*2,Origgio
45.55676,8.97912,IT*ENX*E20XP22T3KK4AL00912*2,Nerviano
45.594167,8.639444,IT*ENX*E18XP22T5AB1U000009*2,Oleggio
45.594167,8.639444,IT*ENX*E18XP22T5AB1U000009*1,Oleggio
45.72164,8.694424,IT*ENX*E19XP22T5HK4AH00172*2,Vergiate
45.658092,9.003172,IT*ENX*E18XP22T3BB5U000422*1,Turate
45.729249,8.88752,IT*ENX*E19XM32T7CB3W000205*1,Venegono Inferiore
45.75414,8.729774,IT*BEC*EE004494*1,Casale Litta
45.69374,8.820043,IT*ENX*E19XP22T3KK4AH00131*2,Oggiona con Santo Stefano
45.625186,9.046159,IT*BEC*EE000012*2,Saronno
45.928058,8.555424,IT*BEC*EH000446*1,Verbania
