latitude,longitude,serial number,COMUNE
45.610082,8.906833,IT*BEC*EE000270*1,Castellanza
45.613326,8.908999,IT*ENX*E18XP22T3KK4AH00300*1,Castellanza
45.610826,8.902813,IT*ENX*E18XP22T5HK4AH00223*2,Castellanza
45.615251,8.880374,IT*BEC*EH000359*1,Castellanza
45.615286,8.880378,IT*BEC*EE004262*1,Castellanza
45.615286,8.880378,IT*BEC*EE004262*2,Castellanza
45.602045,8.877053,IT*ENX*E22XP22T3QQ1AN00945*2,Castellanza
45.610826,8.902813,IT*ENX*E18XP22T5HK4AH00223*1,Castellanza
45.610082,8.906833,IT*BEC*EE000270*2,Castellanza
45.608716,8.896729,IT*ENX*E21XP22T3KKJAK00066*1,Castellanza
45.602045,8.877053,IT*ENX*E22XP22T3QQ1AN00945*1,Castellanza
45.610191,8.906986,IT*BEC*EE000268*2,Castellanza
45.607833,8.907449,IT*PWY*EC0007*01*01,Castellanza
45.607833,8.907449,IT*PWY*EC0007*02*01,Castellanza
45.605199,8.879044,IT*A2A*E12310006420003*1,Castellanza
45.6091232,8.8899946,IT*REVETACR2245022S0175*1,Castellanza
45.605221,8.879165,IT*A2A*E12242043700004*2,Castellanza
45.605199,8.879044,IT*A2A*E12310006420003*2,Castellanza
45.6091232,8.8899946,IT*REVETACR2245022S0217*1,Castellanza
45.605221,8.879165,IT*A2A*E12242043700004*1,Castellanza
45.715584,8.860736,IT*BEC*EH001137*1,Castelseprio
45.717157,8.861287,IT*BEC*EE006574*2,Castelseprio
45.715584,8.860736,IT*BEC*EH001137*2,Castelseprio
45.717157,8.861287,IT*BEC*EE006574*1,Castelseprio
45.715584,8.860736,IT*BEC*EH001137*3,Castelseprio
45.952249,8.673765,IT*ENX*E23XK11T2J03BF00541*1,Castelveccana
45.7537,8.8685,IT*ENX*E18DP22T3KK4U000428*1,Castiglione Olona
45.760083,8.875639,IT*ENX*E18XP22T5HK4U000037*1,Castiglione Olona
45.760083,8.875639,IT*ENX*E18XP22T5HK4U000037*2,Castiglione Olona
45.757916,8.86662,IT*ENX*E18XP22T3BB4U000413*1,Castiglione Olona
45.7542,8.8724,IT*ENX*E20XP22T5HK4AL00068*1,Castiglione Olona
45.7542,8.8724,IT*ENX*E20XP22T5HK4AL00068*2,Castiglione Olona
45.7537,8.8685,IT*ENX*E18DP22T3KK4U000428*2,Castiglione Olona
45.757916,8.86662,IT*ENX*E18XP22T3BB4U000413*2,Castiglione Olona
45.75861,8.87596,IT*PWY*EC0032*01*02,Castiglione Olona
45.75861,8.87596,IT*PWY*EC0032*01*01,Castiglione Olona
45.762983,8.809624,IT*F2X*EF2XITH3101*2,Castronno
45.762915,8.809618,IT*F2X*EF2XITH3102*2,Castronno
45.762983,8.809624,IT*F2X*EF2XITH3101*1,Castronno
45.762915,8.809618,IT*F2X*EF2XITH3102*1,Castronno
45.762379,8.810866,IT*F2X*EF2XITH3001*2,Castronno
45.762405,8.81087,IT*F2X*EF2XITH3002*1,Castronno
45.762405,8.81087,IT*F2X*EF2XITH3002*2,Castronno
45.762379,8.810866,IT*F2X*EF2XITH3001*1,Castronno
45.762921,8.809442,IT*F2X*EF2XITH3151*2,Castronno
45.762135,8.810747,IT*F2X*EF2XITH3051*1,Castronno
45.762921,8.809442,IT*F2X*EF2XITH3151*3,Castronno
45.762135,8.810747,IT*F2X*EF2XITH3051*2,Castronno
45.762921,8.809442,IT*F2X*EF2XITH3151*1,Castronno
45.762135,8.810747,IT*F2X*EF2XITH3051*3,Castronno
45.744975,8.806406,IT*PWY*EC0035*01*02,Castronno
45.744975,8.806406,IT*PWY*EC0035*01*01,Castronno
45.686876,8.807066,IT*ENX*E22XP22T3QQ1AN00727*2,Cavaria con Premezzo
45.692439,8.802504,IT*EWI*EEW0156S1*1,Cavaria con Premezzo
45.695326,8.805504,IT*ENX*E22BZ3958A*3,Cavaria con Premezzo
45.686876,8.807066,IT*ENX*E22XP22T3QQ1AN00727*1,Cavaria con Premezzo
45.695326,8.805504,IT*ENX*E22BZ3958A*1,Cavaria con Premezzo
45.690817,8.793214,IT*ENX*E22XP22T3QQ1AN01025*1,Cavaria con Premezzo
45.695326,8.805504,IT*ENX*E22BZ3958A*2,Cavaria con Premezzo
45.690817,8.793214,IT*ENX*E22XP22T3QQ1AN01025*2,Cavaria con Premezzo
45.693987,8.803327,IT*PWY*EC0028*01*01,Cavaria con Premezzo
45.693987,8.803327,IT*PWY*EC0028*01*02,Cavaria con Premezzo
45.795793,8.726218,IT*BEC*EE004228*1,Cazzago Brabbia
45.795793,8.726218,IT*BEC*EE004228*2,Cazzago Brabbia
45.892733,8.668247,IT*A2C*ESN2000041*3,Cittiglio
45.892733,8.668247,IT*A2C*ESN2000041*4,Cittiglio
45.892733,8.668247,IT*A2C*ESN2001100*2,Cittiglio
45.892733,8.668247,IT*A2C*ESN2000041*2,Cittiglio
45.892733,8.668247,IT*A2C*ESN2001100*4,Cittiglio
45.892733,8.668247,IT*A2C*ESN2001100*1,Cittiglio
45.892733,8.668247,IT*A2C*ESN2000041*1,Cittiglio
45.892733,8.668247,IT*A2C*ESN2001100*3,Cittiglio
45.864691,8.933245,IT*BEC*EE007158*1,Clivio
45.864685,8.933186,IT*BEC*EE006704*1,Clivio
45.864691,8.933245,IT*BEC*EE007158*2,Clivio
45.864685,8.933186,IT*BEC*EE006704*2,Clivio
45.859261,8.688314,IT*BEC*EE002530*1,Cocquio-Trevisago
45.859261,8.688314,IT*BEC*EE002530*2,Cocquio-Trevisago
45.859241,8.688369,IT*BEC*EE002529*1,Cocquio-Trevisago
45.859241,8.688369,IT*BEC*EE002529*2,Cocquio-Trevisago
45.859558,8.690606,IT*GES*EB1E,Cocquio-Trevisago
45.851764,8.70136,IT*GES*E6ON,Cocquio-Trevisago
45.851764,8.70136,IT*GES*E6OJ,Cocquio-Trevisago
45.859558,8.690606,IT*GES*EB5T,Cocquio-Trevisago
45.859685,8.6841,IT*GES*EBPN,Cocquio-Trevisago
45.859685,8.6841,IT*GES*EBPV,Cocquio-Trevisago
45.85991,8.695763,IT*GES*EBOL,Cocquio-Trevisago
45.85991,8.695763,IT*GES*EB8D,Cocquio-Trevisago
45.771812,8.673725,IT*BEC*EE003702*1,Comabbio
45.771812,8.673725,IT*BEC*EE003702*2,Comabbio
45.94195,8.821006,IT*BEC*EE005564*1,Cugliate-Fabiasco
45.94195,8.821006,IT*BEC*EE005564*2,Cugliate-Fabiasco
45.947031,8.812004,IT*BEC*EE005563*2,Cugliate-Fabiasco
45.947031,8.812004,IT*BEC*EE005563*1,Cugliate-Fabiasco
45.93333,8.80617,IT*PWY*EC0024*01*01,Cunardo
45.93333,8.80617,IT*PWY*EC0024*01*02,Cunardo
45.76665,8.767198,IT*ENX*E24BZ4298A*1,Daverio
45.76665,8.767198,IT*ENX*E24BZ4298A*2,Daverio
46.017831,8.785989,IT*BEC*EH000318*3,Dumenza
46.017831,8.785989,IT*BEC*EH000318*1,Dumenza
46.017831,8.785989,IT*BEC*EH000318*2,Dumenza
45.669956,8.870294,IT*ENX*E20XP22T3KK1AL00023*1,Fagnano Olona
45.669956,8.870294,IT*ENX*E20XP22T3KK1AL00023*2,Fagnano Olona
45.620674,8.758789,IT*ENX*ESN2312240082*2,Ferno
45.61357,8.747961,IT*ENX*E23BZ9664A*2,Ferno
45.61357,8.747961,IT*ENX*E23BZ9664A*1,Ferno
